anio,mes,dia,hora,minuto,programa,capitulo,pts
2013,05,01,0,00,Grandes pensadores del siglo XX,Ernesto Laclau,21
2013,05,01,1,30,Pensar Malvinas,La construcción de la memoria,7
2013,05,01,2,00,Cantoras,Leonor González Mina,7
2013,05,01,3,00,Igual de diferentes,Condición social,7
2013,05,01,3,30,Un mundo de insectos,De la arena al agua,7
2013,05,01,4,30,Historia de un país,Dictadura y movimiento obrero,7
2013,05,01,5,00,García y Los Enfermeros,Los Enfermeros,7
2013,05,01,5,30,Continuará...,Family Strip,7
2013,05,01,6,00,Nacieron pueblos; ciudades del futuro,Pergamino,11
2013,05,01,6,30,Grafiteros del mundo,India,11
2013,05,01,7,30,Igual de diferentes,Condición social,11
2013,05,01,8,00,"Rebelión en los Llanos. Vida,...",El Chacho cabalga hacia la muerte,11
2013,05,01,8,30,Hemisferio sur,Territorios,11
2013,05,01,9,00,Números E: una aventura comestible,Episodio III,11
2013,05,01,10,00,¿Por qué es un clásico?,<em>El zoo de cristal   </em>,11
2013,05,01,10,30,Los rosarinos,Mujeres rosarinas,11
2013,05,01,11,00,Especiales Legado,Crecer,11
2013,05,01,11,30,Asamblea 1813,La logia,11
2013,05,01,12,00,Igual de diferentes,Condición social,11
2013,05,01,12,30,Historia de un país,Orígenes del movimiento obrero...,11
2013,05,01,13,00,Península Valdés,La otra Valdés,15
2013,05,01,13,30,El mundo después de los dinosaurios,La revancha de los mamíferos,15
2013,05,01,14,30,Vidas de Sarmiento,El pensamiento y la acción: Sarmiento...,15
2013,05,01,15,00,Industria nacional,La dictadura militar y el quiebre de...,15
2013,05,01,15,30,Filosofía aquí y ahora,Guerra del Paraguay - Un genocidio...,15
2013,05,01,16,00,Vida salvaje,Gigantes misteriosos del mar: Las...,15
2013,05,01,17,00,Hoy bailaré,Arte,15
2013,05,01,17,30,Los locos de la azotea,Opinión,15
2013,05,01,18,00,Pensar Malvinas,La construcción de la memoria,21
2013,05,01,18,30,Construir futuro con trabajo decente,Trabajo decente,21
2013,05,01,19,00,La mentalidad medieval,Conocimiento,21
2013,05,01,20,00,Igual de diferentes,Condición social,21
2013,05,01,21,00,Historias debidas. Latinoamérica,Camila Vallejo,27
2013,05,01,22,00,Cómo hice,Mañana campestre,27
2013,05,01,22,30,Fotos. Retrato de un país,Alfonsín,27
2013,05,01,23,00,Sexo y sensibilidad: el encanto del...,Episodio 1,27
2013,05,02,0,00,Cine y Malvinas,Hundan al Belgrano,21
2013,05,02,2,00,Historias debidas. Latinoamérica,Camila Vallejo,7
2013,05,02,3,00,Queremos saber,Imagen corporal,7
2013,05,02,3,30,"Rebelión en los Llanos. Vida,...",El Chacho cabalga hacia la muerte,7
2013,05,02,4,00,Hemisferio sur,Territorios,7
2013,05,02,4,30,Números E: una aventura comestible,Episodio III,7
2013,05,02,5,30,¿Por qué es un clásico?,<em>El zoo de cristal   </em>,7
2013,05,02,6,00,Los rosarinos,Mujeres rosarinas,11
2013,05,02,6,30,Especiales Legado,Crecer,11
2013,05,02,7,00,Asamblea 1813,La logia,11
2013,05,02,7,30,Queremos saber,Imagen corporal,11
2013,05,02,8,00,Hoy bailaré,Arte,11
2013,05,02,8,30,Vidas de Sarmiento,El pensamiento y la acción: Sarmiento...,11
2013,05,02,9,00,El mundo después de los dinosaurios,La revancha de los mamíferos,11
2013,05,02,10,00,Filosofía aquí y ahora,Guerra del Paraguay - Un genocidio...,11
2013,05,02,10,30,Península Valdés,La otra Valdés,11
2013,05,02,11,00,Industria nacional,La dictadura militar y el quiebre de...,11
2013,05,02,11,30,Los locos de la azotea,Opinión,11
2013,05,02,12,00,Queremos saber,Imagen corporal,11
2013,05,02,12,30,Pensar Malvinas,El Madrynazo,11
2013,05,02,13,00,El hombre de Tukma,Sobre el asfalto,15
2013,05,02,13,30,La mentalidad medieval,Conocimiento,15
2013,05,02,14,30,Fotos. Retrato de un país,Alfonsín,15
2013,05,02,15,00,Cómo hice,Mañana campestre,15
2013,05,02,15,30,Proyecto G,Electrostática,15
2013,05,02,16,00,Vida salvaje,Cazadores en los campos de Japón: Los...,15
2013,05,02,17,00,Historias debidas. Latinoamérica,Camila Vallejo,15
2013,05,02,18,00,Pensar Malvinas,El Madrynazo,21
2013,05,02,18,30,Pampa del Indio,Artistas solidarios,21
2013,05,02,19,00,En algún lugar de la tierra,Brasil,21
2013,05,02,20,00,Queremos saber,Imagen corporal,21
2013,05,02,20,30,Alterados por Pi,Suma de números de cinco dígitos,21
2013,05,02,21,00,En busca de los elementos,,27
2013,05,02,22,00,Grandes de nuestra cultura,Manuel Antín,27
2013,05,02,22,30,Historia de las clases populares,Limpieza de sangre,27
2013,05,02,23,00,Insurgentes,Palo Pandolfo,27
2013,05,02,23,30,En escena. Grupos de teatro argentino,Los Amados,27
2013,05,03,0,00,Grandes pensadores del siglo XX,Susan Sontag   Roland Barthes,21
2013,05,03,1,00,En busca de los elementos,,7
2013,05,03,2,00,Grandes de nuestra cultura,Manuel Antín,7
2013,05,03,2,30,Historia de las clases populares,Limpieza de sangre,7
2013,05,03,3,00,Claves de lectura,"Alfonsina Storni, poeta",7
2013,05,03,3,30,Hoy bailaré,Arte,7
2013,05,03,4,00,Vidas de Sarmiento,El pensamiento y la acción: Sarmiento...,7
2013,05,03,4,30,El mundo después de los dinosaurios,La revancha de los mamíferos,7
2013,05,03,5,30,Filosofía aquí y ahora,Guerra del Paraguay - Un genocidio...,7
2013,05,03,6,00,Península Valdés,La otra Valdés,11
2013,05,03,6,30,Industria nacional,La dictadura militar y el quiebre de...,11
2013,05,03,7,00,Los locos de la azotea,Opinión,11
2013,05,03,7,30,Claves de lectura,"Alfonsina Storni, poeta",11
2013,05,03,8,00,Historias debidas. Latinoamérica,Camila Vallejo,11
2013,05,03,9,00,La mentalidad medieval,Conocimiento,11
2013,05,03,10,00,Proyecto G,Electrostática,11
2013,05,03,10,30,El hombre de Tukma,Sobre el asfalto,11
2013,05,03,11,00,Cómo hice,Mañana campestre,11
2013,05,03,11,30,Fotos. Retrato de un país,Alfonsín,11
2013,05,03,12,00,Claves de lectura,"Alfonsina Storni, poeta",11
2013,05,03,12,30,Pensar Malvinas,Malvinas en la escuela,11
2013,05,03,13,00,Pampa del Indio,Artistas solidarios,15
2013,05,03,13,30,En algún lugar de la tierra,Brasil,15
2013,05,03,14,30,En escena. Grupos de teatro argentino,Los Amados,15
2013,05,03,15,00,Historia de las clases populares,Limpieza de sangre,15
2013,05,03,15,30,Alterados por Pi,Suma de números de cinco dígitos,15
2013,05,03,16,00,Vida salvaje,Felino escurridizo: El gato leopardo...,15
2013,05,03,17,00,En busca de los elementos,,15
2013,05,03,18,00,"Avelino bazán, la historia del mítico...",,21
2013,05,03,18,30,Nacieron pueblos; ciudades del futuro,Rojas,21
2013,05,03,19,00,El tilonorrinco: el arte de la seducción,,21
2013,05,03,20,00,Claves de lectura,"Alfonsina Storni, poeta",21
2013,05,03,20,30,Continuará...,Revista Patoruzito,21
2013,05,03,21,00,Grafiteros del mundo,China,27
2013,05,03,22,00,García y Los Enfermeros,Los Enfermeros,27
2013,05,03,22,30,Historia de un país,La economía de los liberales,27
2013,05,03,23,00,Género identidad. La diversidad en el...,Tomboy,27
2013,05,04,0,30,Cómo hice,Mañana campestre,21
2013,05,04,1,00,Los exilios del cine: De Hitler a...,Capítulo 1,7
2013,05,04,2,00,Grafiteros del mundo,China,7
2013,05,04,3,00,Los rosarinos,Mujeres rosarinas,7
2013,05,04,3,30,Proyecto G,Electrostática,7
2013,05,04,4,00,Hemisferio sur,Territorios,7
2013,05,04,4,30,La mentalidad medieval,Conocimiento,7
2013,05,04,5,30,Alterados por Pi,Suma de números de cinco dígitos,7
2013,05,04,6,00,Vidas de Sarmiento,El pensamiento y la acción: Sarmiento...,11
2013,05,04,6,30,Península Valdés,La otra Valdés,11
2013,05,04,7,00,El tilonorrinco: el arte de la seducción,,11
2013,05,04,8,00,Especiales Legado,Crecer,11
2013,05,04,8,30,Insurgentes,Palo Pandolfo,11
2013,05,04,9,00,Historias debidas. Latinoamérica,Camila Vallejo,11
2013,05,04,10,00,Filosofía aquí y ahora,Guerra del Paraguay - Un genocidio...,11
2013,05,04,10,30,Los rosarinos,Mujeres rosarinas,11
2013,05,04,11,00,En algún lugar de la tierra,Brasil,11
2013,05,04,12,00,Continuará...,Revista Patoruzito,11
2013,05,04,12,30,En escena. Grupos de teatro argentino,Los Amados,11
2013,05,04,13,00,Fotos. Retrato de un país,Alfonsín,15
2013,05,04,13,30,Hoy bailaré,Arte,15
2013,05,04,14,00,¿Por qué es un clásico?,<em>El zoo de cristal   </em>,15
2013,05,04,14,30,Nacieron pueblos; ciudades del futuro,Rojas,15
2013,05,04,15,00,En busca de los elementos,,15
2013,05,04,16,00,Usá tu net,Movie Maker,15
2013,05,04,16,30,Vocaciones,Ingeniería civil,15
2013,05,04,17,00,Igual de diferentes,Condición social,15
2013,05,04,17,30,Queremos saber,Imagen corporal,15
2013,05,04,18,00,Claves de lectura,"Alfonsina Storni, poeta",21
2013,05,04,18,30,Industria nacional,La dictadura militar y el quiebre de...,21
2013,05,04,19,00,Números E: una aventura comestible,Episodio III,21
2013,05,04,20,00,Historia de un país,La economía de los liberales,21
2013,05,04,20,30,Historia de las clases populares,Limpieza de sangre,21
2013,05,04,21,00,Cómo hice,Mañana campestre,27
2013,05,04,21,30,Asamblea 1813,La logia,27
2013,05,04,22,00,Cantoras,Leonor González Mina,27
2013,05,04,23,00,Grandes de nuestra cultura,Manuel Antín,27
2013,05,04,23,30,Fotos. Retrato de un país,Alfonsín,27
2013,05,05,0,00,Nuestro cine,La mujer de Benjamín,24
2013,05,05,1,30,Los locos de la azotea,Opinión,11
2013,05,05,2,00,Sexo y sensibilidad: el encanto del...,Episodio 1,11
2013,05,05,3,00,García y Los Enfermeros,Los Enfermeros,11
2013,05,05,3,30,El hombre de Tukma,Sobre el asfalto,11
2013,05,05,4,00,Filosofía aquí y ahora,Guerra del Paraguay - Un genocidio...,11
2013,05,05,4,30,Continuará...,Revista Patoruzito,11
2013,05,05,5,00,Números E: una aventura comestible,Episodio III,11
2013,05,05,6,00,Fotos. Retrato de un país,Alfonsín,15
2013,05,05,6,30,Asamblea 1813,La logia,15
2013,05,05,7,00,Cantoras,Leonor González Mina,15
2013,05,05,8,00,En busca de los elementos,,15
2013,05,05,9,00,Alterados por Pi,Suma de números de cinco dígitos,15
2013,05,05,9,30,¿Por qué es un clásico?,<em>El zoo de cristal   </em>,15
2013,05,05,10,00,La mentalidad medieval,Conocimiento,15
2013,05,05,11,00,Historia de un país,La economía de los liberales,15
2013,05,05,11,30,Península Valdés,La otra Valdés,15
2013,05,05,12,00,Cómo hice,Mañana campestre,15
2013,05,05,12,30,Historia de un país,La economía de los liberales,15
2013,05,05,13,00,Historia de las clases populares,Limpieza de sangre,19
2013,05,05,13,30,El hombre de Tukma,Sobre el asfalto,19
2013,05,05,14,00,El mundo después de los dinosaurios,La revancha de los mamíferos,19
2013,05,05,15,00,Hemisferio sur,Territorios,19
2013,05,05,15,30,Proyecto G,Electrostática,19
2013,05,05,16,00,El tilonorrinco: el arte de la seducción,,19
2013,05,05,17,00,Los locos de la azotea,Opinión,19
2013,05,05,17,30,Especiales Legado,Crecer,19
2013,05,05,18,00,Grafiteros del mundo,China,27
2013,05,05,19,00,Filosofía aquí y ahora,Guerra del Paraguay - Un genocidio...,27
2013,05,05,19,30,Pampa del Indio,Artistas solidarios,27
2013,05,05,20,00,Historias debidas. Latinoamérica,Camila Vallejo,27
2013,05,05,21,00,"Rebelión en los Llanos. Vida,...",El Chacho cabalga hacia la muerte,31
2013,05,05,21,30,García y Los Enfermeros,Los Enfermeros,31
2013,05,05,22,00,El amor al cine,Contra la pared,31
2013,05,06,0,00,Grandes pensadores del siglo XX,Martin Heidegger,24
2013,05,06,1,00,El tilonorrinco: el arte de la seducción,,11
2013,05,06,2,00,García y Los Enfermeros,Los Enfermeros,11
2013,05,06,2,30,Historia de un país,La economía de los liberales,11
2013,05,06,3,00,Usá tu net,&nbsp;Avogadro,11
2013,05,06,3,30,Historias debidas. Latinoamérica,Camila Vallejo,11
2013,05,06,4,30,La mentalidad medieval,Conocimiento,11
2013,05,06,5,30,Proyecto G,Electrostática,11
2013,05,06,6,00,El hombre de Tukma,Sobre el asfalto,15
2013,05,06,6,30,Cómo hice,Mañana campestre,15
2013,05,06,7,00,Fotos. Retrato de un país,Alfonsín,15
2013,05,06,7,30,Usá tu net,&nbsp;Avogadro,15
2013,05,06,8,00,En busca de los elementos,,15
2013,05,06,9,00,En algún lugar de la tierra,Brasil,15
2013,05,06,10,00,Alterados por Pi,Suma de números de cinco dígitos,15
2013,05,06,10,30,Pampa del Indio,Artistas solidarios,15
2013,05,06,11,00,Insurgentes,Palo Pandolfo,15
2013,05,06,11,30,Historia de las clases populares,Limpieza de sangre,15
2013,05,06,12,00,Usá tu net,&nbsp;Avogadro,15
2013,05,06,12,30,La belleza de los diagramas,El hombre de Vitruvio y la doble...,15
2013,05,06,13,00,Nacieron pueblos; ciudades del futuro,Rojas,19
2013,05,06,13,30,El tilonorrinco: el arte de la seducción,,19
2013,05,06,14,30,García y Los Enfermeros,Los Enfermeros,19
2013,05,06,15,00,Historia de un país,La economía de los liberales,19
2013,05,06,15,30,Continuará...,Revista Patoruzito,19
2013,05,06,16,00,Vida salvaje,Felino escurridizo: El gato leopardo...,19
2013,05,06,17,00,Grafiteros del mundo,China,19
2013,05,06,18,00,La belleza de los diagramas,El hombre de Vitruvio y la doble...,27
2013,05,06,18,30,Construir futuro con trabajo decente,Trabajo decente,27
2013,05,06,19,00,Roma al descubierto,Episodio 1,27
2013,05,06,20,00,Usá tu net,&nbsp;Avogadro,27
2013,05,06,20,30,¿Por qué es un clásico?,<em>La isla desierta</em>,27
2013,05,06,21,00,Ejército y pol ítica,Las Fuerzas Armadas y el golpe de...,31
2013,05,06,21,30,Hemisferio sur,Desconocidos íntimos,31
2013,05,06,22,00,Asamblea 1813,Asamblea del año XIII,31
2013,05,06,22,30,"Rebelión en los Llanos. Vida,...",La vigencia del mito,31
2013,05,06,23,00,Los exilios del cine: De Hitler a...,Capítulo 2,31
2013,05,07,0,00,Grandes pensadores del siglo XX,Martin Heidegger II,21
2013,05,07,1,00,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,7
2013,05,07,1,30,La belleza de los diagramas,El hombre de Vitruvio y la doble...,7
2013,05,07,2,00,Roma al descubierto,Episodio 1,7
2013,05,07,3,00,Vocaciones,Ingeniería civil,7
2013,05,07,3,30,En busca de los elementos,,7
2013,05,07,4,30,En algún lugar de la tierra,Brasil,7
2013,05,07,5,30,Alterados por Pi,Suma de números de cinco dígitos,7
2013,05,07,6,00,Pampa del Indio,Artistas solidarios,11
2013,05,07,6,30,Insurgentes,Palo Pandolfo,11
2013,05,07,7,00,Historia de las clases populares,Limpieza de sangre,11
2013,05,07,7,30,Vocaciones,Ingeniería civil,11
2013,05,07,8,00,El tilonorrinco: el arte de la seducción,,11
2013,05,07,9,00,Historia de un país,La economía de los liberales,11
2013,05,07,9,30,García y Los Enfermeros,Los Enfermeros,11
2013,05,07,10,00,Continuará...,Revista Patoruzito,11
2013,05,07,10,30,Nacieron pueblos; ciudades del futuro,Rojas,11
2013,05,07,11,00,Grafiteros del mundo,China,11
2013,05,07,12,00,Vocaciones,Ingeniería civil,11
2013,05,07,12,30,La belleza de los diagramas,El hombre de Vitruvio y la doble...,11
2013,05,07,13,00,Construir futuro con trabajo decente,Trabajo decente,15
2013,05,07,13,30,Roma al descubierto,Episodio 1,15
2013,05,07,14,30,Hemisferio sur,Desconocidos íntimos,15
2013,05,07,15,00,"Rebelión en los Llanos. Vida,...",La vigencia del mito,15
2013,05,07,15,30,¿Por qué es un clásico?,<em>La isla desierta</em>,15
2013,05,07,16,00,Vida salvaje,Secretos de la orilla: Los canales de...,15
2013,05,07,17,00,Asamblea 1813,Asamblea del año XIII,15
2013,05,07,17,30,Ejército y pol ítica,Las Fuerzas Armadas y el golpe de...,15
2013,05,07,18,00,La belleza de los diagramas,El hombre de Vitruvio y la doble...,21
2013,05,07,18,30,Hoy bailaré,Deporte,21
2013,05,07,19,00,El mundo después de los dinosaurios,El fin de la era,21
2013,05,07,20,00,Vocaciones,Ingeniería electrónica,21
2013,05,07,20,30,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,21
2013,05,07,21,00,Historia de un país,Eva Perón y la cultura peronista,27
2013,05,07,21,30,Los locos de la azotea,Conductoras,27
2013,05,07,22,00,Cantoras,Paquita la del Barrio,27
2013,05,07,23,00,Industria nacional,La década perdida,27
2013,05,07,23,30,En escena. Grupos de teatro argentino,Grupo de teatro Catalinas Sur,27
2013,05,08,0,00,Grandes pensadores del siglo XX,Jacques Derrida,21
2013,05,08,1,30,La belleza de los diagramas,Newton y el diagrama de la rosa. Parte 1,7
2013,05,08,2,00,Cantoras,Paquita la del Barrio,7
2013,05,08,3,00,Igual de diferentes,Personas con discapacidad,7
2013,05,08,3,30,El tilonorrinco: el arte de la seducción,,7
2013,05,08,4,30,Historia de un país,La economía de los liberales,7
2013,05,08,5,00,García y Los Enfermeros,Los Enfermeros,7
2013,05,08,5,30,Continuará...,Revista Patoruzito,7
2013,05,08,6,00,Nacieron pueblos; ciudades del futuro,Rojas,11
2013,05,08,6,30,Grafiteros del mundo,China,11
2013,05,08,7,30,Igual de diferentes,Personas con discapacidad,11
2013,05,08,8,00,"Rebelión en los Llanos. Vida,...",La vigencia del mito,11
2013,05,08,8,30,Hemisferio sur,Desconocidos íntimos,11
2013,05,08,9,00,Roma al descubierto,Episodio 1,11
2013,05,08,10,00,¿Por qué es un clásico?,<em>La isla desierta</em>,11
2013,05,08,10,30,Construir futuro con trabajo decente,Trabajo decente,11
2013,05,08,11,00,Ejército y pol ítica,Las Fuerzas Armadas y el golpe de...,11
2013,05,08,11,30,Asamblea 1813,Asamblea del año XIII,11
2013,05,08,12,00,Igual de diferentes,Personas con discapacidad,11
2013,05,08,12,30,La belleza de los diagramas,Newton y el diagrama de la rosa. Parte 1,11
2013,05,08,13,00,En escena. Grupos de teatro argentino,Grupo de teatro Catalinas Sur,15
2013,05,08,13,30,El mundo después de los dinosaurios,El fin de la era,15
2013,05,08,14,30,Historia de un país,Eva Perón y la cultura peronista,15
2013,05,08,15,00,Industria nacional,La década perdida,15
2013,05,08,15,30,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,15
2013,05,08,16,00,Vida salvaje,Orcas: Depredadores en las playas,15
2013,05,08,17,00,Hoy bailaré,Deporte,15
2013,05,08,17,30,Los locos de la azotea,Conductoras,15
2013,05,08,18,00,La belleza de los diagramas,Newton y el diagrama de la rosa. Parte 1,21
2013,05,08,18,30,El hombre de Tukma,Sueños de revolución,21
2013,05,08,19,00,La vida del agua,Parte I,21
2013,05,08,20,00,Igual de diferentes,Personas con discapacidad,21
2013,05,08,20,30,Proyecto G,Oxígeno,21
2013,05,08,21,00,Historias debidas,Pablo Ferreyra,27
2013,05,08,22,00,Cómo hice,Los ejes de mi carreta,27
2013,05,08,22,30,Fotos. Retrato de un país,Malvinas,27
2013,05,08,23,00,Sexo y sensibilidad: el encanto del...,Episodio 2,27
2013,05,09,0,00,Grandes pensadores del siglo XX,David Viñas,21
2013,05,09,1,00,Alterados por Pi,La secretaria distraída,7
2013,05,09,1,30,La belleza de los diagramas,Newton y el diagrama de la rosa. Parte 2,7
2013,05,09,2,00,Historias debidas,Pablo Ferreyra,7
2013,05,09,3,00,Queremos saber,Pubertad y adolescencia,7
2013,05,09,3,30,"Rebelión en los Llanos. Vida,...",La vigencia del mito,7
2013,05,09,4,00,Hemisferio sur,Desconocidos íntimos,7
2013,05,09,4,30,Roma al descubierto,Episodio 1,7
2013,05,09,5,30,¿Por qué es un clásico?,<em>La isla desierta</em>,7
2013,05,09,6,00,Construir futuro con trabajo decente,Trabajo decente,11
2013,05,09,6,30,Ejército y pol ítica,Las Fuerzas Armadas y el golpe de...,11
2013,05,09,7,00,Asamblea 1813,Asamblea del año XIII,11
2013,05,09,7,30,Queremos saber,Pubertad y adolescencia,11
2013,05,09,8,00,Hoy bailaré,Deporte,11
2013,05,09,8,30,Historia de un país,Eva Perón y la cultura peronista,11
2013,05,09,9,00,El mundo después de los dinosaurios,El fin de la era,11
2013,05,09,10,00,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,11
2013,05,09,10,30,En escena. Grupos de teatro argentino,Grupo de teatro Catalinas Sur,11
2013,05,09,11,00,Industria nacional,La década perdida,11
2013,05,09,11,30,Los locos de la azotea,Conductoras,11
2013,05,09,12,00,Queremos saber,Pubertad y adolescencia,11
2013,05,09,12,30,La belleza de los diagramas,Newton y el diagrama de la rosa. Parte 2,11
2013,05,09,13,00,El hombre de Tukma,Sueños de revolución,15
2013,05,09,13,30,La vida del agua,Parte I,15
2013,05,09,14,30,Fotos. Retrato de un país,Malvinas,15
2013,05,09,15,00,Cómo hice,Los ejes de mi carreta,15
2013,05,09,15,30,Proyecto G,Los elementos del cuerpo humano,15
2013,05,09,16,00,Vida salvaje,Estrategia de supervivencia: Ballena...,15
2013,05,09,17,00,Historias debidas,Pablo Ferreyra,15
2013,05,09,18,00,La belleza de los diagramas,Newton y el diagrama de la rosa. Parte 2,21
2013,05,09,18,30,Charlas TEDxR íodelaPlata,Miguel San Martín,21
2013,05,09,19,00,En algún lugar de la tierra,Belice,21
2013,05,09,20,00,Queremos saber,Pubertad y adolescencia,21
2013,05,09,20,30,Alterados por Pi,La secretaria distraída,21
2013,05,09,21,00,Pioneros de la medicina,Anestesia,27
2013,05,09,22,00,Grandes de nuestra cultura,María Fux,27
2013,05,09,22,30,Historia de las clases populares,Las palabras de Manul,27
2013,05,09,23,00,Insurgentes,Peligrosos gorriones,27
2013,05,09,23,30,Historia de un país,Eva Perón y la cultura peronista,27
2013,05,10,0,00,Grandes pensadores del siglo XX,David Viñas II,21
2013,05,10,1,00,Continuará...,El macanudo humor de Liniers,7
2013,05,10,1,30,La belleza de los diagramas,Copérnico y la placa del pioneer....,7
2013,05,10,2,00,Grandes de nuestra cultura,María Fux,7
2013,05,10,2,30,Historia de las clases populares,Las palabras de Manul,7
2013,05,10,3,00,Claves de lectura,"Eugenio Cambaceres, novelista",7
2013,05,10,3,30,Hoy bailaré,Deporte,7
2013,05,10,4,00,Historia de un país,Eva Perón y la cultura peronista,7
2013,05,10,4,30,El mundo después de los dinosaurios,El fin de la era,7
2013,05,10,5,30,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,7
2013,05,10,6,00,En escena. Grupos de teatro argentino,Grupo de teatro Catalinas Sur,11
2013,05,10,6,30,Industria nacional,La década perdida,11
2013,05,10,7,00,Los locos de la azotea,Conductoras,11
2013,05,10,7,30,Claves de lectura,"Eugenio Cambaceres, novelista",11
2013,05,10,8,00,Historias debidas,Pablo Ferreyra,11
2013,05,10,9,00,La vida del agua,Parte I,11
2013,05,10,10,00,Proyecto G,Los elementos del cuerpo humano,11
2013,05,10,10,30,El hombre de Tukma,Sueños de revolución,11
2013,05,10,11,00,Cómo hice,Los ejes de mi carreta,11
2013,05,10,11,30,Fotos. Retrato de un país,Malvinas,11
2013,05,10,12,00,Claves de lectura,"Eugenio Cambaceres, novelista",11
2013,05,10,12,30,La belleza de los diagramas,Copérnico y la placa del pioneer....,11
2013,05,10,13,00,Charlas TEDxR íodelaPlata,Miguel San Martín,15
2013,05,10,13,30,En algún lugar de la tierra,Belice,15
2013,05,10,14,30,Insurgentes,Peligrosos gorriones,15
2013,05,10,15,00,Historia de las clases populares,Las palabras de Manul,15
2013,05,10,15,30,Alterados por Pi,La secretaria distraída,15
2013,05,10,16,00,Vida salvaje,Nuestros elegantes vecinos: Gorriones,15
2013,05,10,17,00,Pioneros de la medicina,Anestesia,15
2013,05,10,18,00,La belleza de los diagramas,Copérnico y la placa del pioneer....,21
2013,05,10,18,30,Nacieron pueblos; ciudades del futuro,Junín,21
2013,05,10,19,00,Superanimales,La vida soñada de las ratas,21
2013,05,10,20,00,Claves de lectura,"Eugenio Cambaceres, novelista",21
2013,05,10,20,30,Continuará...,El macanudo humor de Liniers,21
2013,05,10,21,00,Grafiteros del mundo,México,27
2013,05,10,22,00,García y Los Enfermeros,Los iluminados,27
2013,05,10,22,30,Historia de un país,Cierre de los Ingenios tucumanos,27
2013,05,10,23,00,Género identidad. La diversidad en el...,Guerriller@s,27
2013,05,11,0,00,Historias debidas,Pablo Ferreyra,21
2013,05,11,1,00,Los exilios del cine: De Hitler a...,Capítulo 2,7
2013,05,11,2,00,Grafiteros del mundo,México,7
2013,05,11,3,00,Construir futuro con trabajo decente,Trabajo decente,7
2013,05,11,3,30,Proyecto G,Los elementos del cuerpo humano,7
2013,05,11,4,00,Hemisferio sur,Desconocidos íntimos,7
2013,05,11,4,30,La vida del agua,Parte I,7
2013,05,11,5,30,Alterados por Pi,La secretaria distraída,7
2013,05,11,6,00,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,11
2013,05,11,6,30,Asamblea 1813,Asamblea del año XIII,11
2013,05,11,7,00,Superanimales,La vida soñada de las ratas,11
2013,05,11,8,00,Ejército y pol ítica,Las Fuerzas Armadas y el golpe de...,11
2013,05,11,8,30,Insurgentes,Peligrosos gorriones,11
2013,05,11,9,00,Historias debidas,Pablo Ferreyra,11
2013,05,11,10,00,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,11
2013,05,11,10,30,Construir futuro con trabajo decente,Trabajo decente,11
2013,05,11,11,00,En algún lugar de la tierra,Belice,11
2013,05,11,12,00,Continuará...,El macanudo humor de Liniers,11
2013,05,11,12,30,Charlas TEDxR íodelaPlata,Miguel San Martín,11
2013,05,11,13,00,Fotos. Retrato de un país,Malvinas,15
2013,05,11,13,30,Hoy bailaré,Deporte,15
2013,05,11,14,00,¿Por qué es un clásico?,<em>La isla desierta</em>,15
2013,05,11,14,30,Nacieron pueblos; ciudades del futuro,Junín,15
2013,05,11,15,00,Roma al descubierto,Episodio 1,15
2013,05,11,16,00,Usá tu net,&nbsp;Avogadro,15
2013,05,11,16,30,Vocaciones,Ingeniería electrónica,15
2013,05,11,17,00,Igual de diferentes,Personas con discapacidad,15
2013,05,11,17,30,Queremos saber,Pubertad y adolescencia,15
2013,05,11,18,00,Claves de lectura,"Eugenio Cambaceres, novelista",21
2013,05,11,18,30,Industria nacional,La década perdida,21
2013,05,11,19,00,Pioneros de la medicina,Anestesia,21
2013,05,11,20,00,A fondo,Salvador Dalí,21
2013,05,11,21,00,La creación del Himno. Fotogramas de...,,27
2013,05,11,22,00,Encuentro en el estudio,Ciro y los Persas,27
2013,05,11,23,00,Grandes de nuestra cultura,María Fux,27
2013,05,11,23,30,Fotos. Retrato de un país,Malvinas,27
2013,05,12,0,00,Nuestro cine,La Yuma,24
2013,05,12,1,30,Hemisferio sur,Desconocidos íntimos,11
2013,05,12,2,00,Sexo y sensibilidad: el encanto del...,Episodio 2,11
2013,05,12,3,00,García y Los Enfermeros,Los iluminados,11
2013,05,12,3,30,El hombre de Tukma,Sueños de revolución,11
2013,05,12,4,00,Filosofía aquí y ahora,Guerra del Paraguay - La causa del...,11
2013,05,12,4,30,Continuará...,El macanudo humor de Liniers,11
2013,05,12,5,00,Pioneros de la medicina,Anestesia,11
2013,05,12,6,00,Fotos. Retrato de un país,Malvinas,15
2013,05,12,6,30,Construir futuro con trabajo decente,Trabajo decente,15
2013,05,12,7,00,Cantoras,Totó la Momposina,15
2013,05,12,8,00,Roma al descubierto,Episodio 1,15
2013,05,12,9,00,Alterados por Pi,La secretaria distraída,15
2013,05,12,9,30,¿Por qué es un clásico?,<em>La isla desierta</em>,15
2013,05,12,10,00,La vida del agua,Parte I,15
