mes,Episodio 1,Episodio 2,Episodio 3
2013-05,76,65,38
2013-06,27,38,54
2013-07,0,0,0
2013-08,0,0,0
2013-09,0,0,0
2013-10,0,0,0
2013-11,0,0,0
2013-12,0,0,0
2014-01,0,0,0
2014-02,11,7,7
2014-03,0,0,0
2014-04,0,0,0
2014-05,0,0,0
2014-06,0,0,0
2014-07,0,0,0
2014-08,0,0,0
2014-09,0,0,0
2014-10,0,0,0
2014-11,0,0,0
2014-12,0,0,0
2015-01,0,0,0
2015-02,0,0,0
2015-03,0,0,0
2015-04,0,0,0
2015-05,0,0,0
2015-06,0,0,0
2015-07,0,0,0
2015-08,0,0,0
2015-09,0,0,0
2015-10,0,0,0
2015-11,0,0,0
2015-12,0,0,0
2016-01,0,0,0
2016-02,0,0,0
2016-03,0,0,0
2016-04,0,0,0
2016-05,0,0,0
2016-06,0,0,0
2016-07,0,0,0
2016-08,0,0,0
2016-09,0,0,0
2016-10,0,0,0
